Date,Open,High,Low,Close
2021-01-01,13996.1,14049.85,13991.35,14018.5
2020-12-31,13970.0,14024.85,13936.45,13981.75
2020-12-30,13980.9,13997.0,13864.95,13981.95
2020-12-29,13910.35,13967.6,13859.9,13932.6
2020-12-28,13815.15,13885.3,13811.55,13873.2
2020-12-24,13672.15,13771.75,13626.9,13749.25
2020-12-23,13473.5,13619.45,13432.2,13601.1
2020-12-22,13373.65,13492.05,13192.9,13466.3
2020-12-21,13741.9,13777.5,13131.45,13328.4
2020-12-18,13764.4,13772.85,13658.6,13760.55
2020-12-17,13713.55,13773.25,13673.55,13740.7
2020-12-16,13663.1,13692.35,13606.45,13682.7
2020-12-15,13547.2,13589.65,13447.05,13567.85
2020-12-14,13571.45,13597.5,13472.45,13558.15
2020-12-11,13512.3,13579.35,13402.85,13513.85
2020-12-10,13488.5,13503.55,13399.3,13478.3
2020-12-09,13458.1,13548.9,13449.6,13529.1
2020-12-08,13393.85,13435.45,13311.05,13392.95
2020-12-07,13264.85,13366.65,13241.95,13355.75
2020-12-04,13177.4,13280.05,13152.85,13258.55
2020-12-03,13215.3,13216.6,13107.9,13133.9
2020-12-02,13121.4,13128.5,12983.55,13113.75
2020-12-01,13062.2,13128.4,12962.8,13109.05
2020-11-27,13012.05,13035.3,12914.3,12968.95
2020-11-26,12906.45,13018.0,12790.4,12987.0
2020-11-25,13130.0,13145.85,12833.65,12858.4
2020-11-24,13002.6,13079.1,12978.0,13055.15
2020-11-23,12960.3,12968.85,12825.7,12926.45
2020-11-20,12813.4,12892.45,12730.25,12859.05
2020-11-19,12839.5,12963.0,12745.75,12771.7
2020-11-18,12860.1,12948.85,12819.35,12938.25
2020-11-17,12932.5,12934.05,12797.1,12874.2
2020-11-14,12823.35,12828.7,12749.45,12780.25
2020-11-13,12659.7,12735.95,12607.7,12719.95
2020-11-12,12702.15,12741.15,12624.85,12690.8
2020-11-11,12680.6,12769.75,12571.1,12749.15
2020-11-10,12556.4,12643.9,12475.25,12631.1
2020-11-09,12399.4,12474.05,12367.35,12461.05
2020-11-06,12156.65,12280.4,12131.85,12263.55
2020-11-05,12062.4,12131.1,12027.6,12120.3
2020-11-04,11783.35,11929.65,11756.4,11908.5
2020-11-03,11734.45,11836.2,11723.3,11813.5
2020-11-02,11697.35,11725.65,11557.4,11669.15
2020-10-30,11678.45,11748.95,11535.45,11642.4
2020-10-29,11633.3,11744.15,11606.45,11670.8
2020-10-28,11922.6,11929.4,11684.85,11729.6
2020-10-27,11807.1,11899.05,11723.0,11889.4
2020-10-26,11937.4,11942.85,11711.7,11767.75
2020-10-23,11957.9,11974.55,11908.75,11930.35
2020-10-22,11890.0,11939.55,11823.45,11896.45
2020-10-21,11958.55,12018.65,11775.75,11937.65
2020-10-20,11861.0,11949.25,11837.25,11896.8
2020-10-19,11879.2,11898.25,11820.4,11873.05
2020-10-16,11727.4,11789.75,11667.85,11762.45
2020-10-15,12023.45,12025.45,11661.3,11680.35
2020-10-14,11917.4,11997.2,11822.15,11971.05
2020-10-13,11934.65,11988.2,11888.9,11934.5
2020-10-12,11973.55,12022.05,11867.2,11930.95
2020-10-09,11852.05,11938.6,11805.2,11914.2
2020-10-08,11835.4,11905.7,11791.15,11834.6
2020-10-07,11679.25,11763.05,11629.35,11738.85
2020-10-06,11603.45,11680.3,11564.3,11662.4
2020-10-05,11487.8,11578.05,11452.3,11503.35
2020-10-01,11364.45,11428.6,11347.05,11416.95
2020-09-30,11244.45,11295.4,11184.55,11247.55
2020-09-29,11288.6,11305.4,11181.0,11222.4
2020-09-28,11140.85,11239.35,11099.85,11227.55
2020-09-25,10910.4,11072.6,10854.85,11050.25
2020-09-24,11011.0,11015.3,10790.2,10805.55
2020-09-23,11258.75,11259.55,11024.4,11131.85
2020-09-22,11301.75,11302.2,11084.65,11153.65
2020-09-21,11503.8,11535.25,11218.5,11250.55
2020-09-18,11584.1,11584.1,11446.1,11504.95
2020-09-17,11539.4,11587.2,11498.5,11516.1
2020-09-16,11538.45,11618.1,11516.75,11604.55
2020-09-15,11487.2,11535.95,11442.25,11521.8
2020-09-14,11540.15,11568.9,11383.55,11440.05
2020-09-11,11447.8,11493.5,11419.9,11464.45
2020-09-10,11363.3,11464.05,11327.4,11449.25
2020-09-09,11218.6,11298.15,11185.15,11278.0
2020-09-08,11378.55,11437.25,11290.45,11317.35
2020-09-07,11359.6,11381.15,11251.7,11355.05
2020-09-04,11354.4,11452.05,11303.65,11333.85
2020-09-03,11566.2,11584.95,11507.65,11527.45
2020-09-02,11478.55,11554.75,11430.4,11535.0
2020-09-01,11464.3,11553.55,11366.9,11470.25
2020-08-31,11777.55,11794.25,11325.85,11387.5
2020-08-28,11602.95,11686.05,11589.4,11647.6
2020-08-27,11609.3,11617.35,11540.6,11559.25
2020-08-26,11512.85,11561.75,11461.85,11549.6
2020-08-25,11513.1,11525.9,11423.35,11472.25
2020-08-24,11412.0,11497.25,11410.65,11466.45
2020-08-21,11409.65,11418.5,11362.2,11371.6
2020-08-20,11317.45,11361.45,11289.8,11312.2
2020-08-19,11452.15,11460.35,11394.1,11408.4
2020-08-18,11259.8,11401.7,11253.15,11385.35
2020-08-17,11248.9,11267.1,11144.5,11247.1
2020-08-14,11353.3,11366.25,11111.45,11178.4
2020-08-13,11334.85,11359.3,11269.95,11300.45
2020-08-12,11289.0,11322.0,11242.65,11308.4
2020-08-11,11322.25,11373.6,11299.15,11322.5
2020-08-10,11270.25,11337.3,11238.0,11270.15
2020-08-07,11186.65,11231.9,11142.05,11214.05
2020-08-06,11185.7,11256.8,11127.3,11200.15
2020-08-05,11155.75,11225.65,11064.05,11101.65
2020-08-04,10946.65,11112.25,10908.1,11095.25
2020-08-03,11057.55,11058.05,10882.25,10891.6
2020-07-31,11139.5,11150.4,11026.65,11073.45
2020-07-30,11254.3,11299.95,11084.95,11102.15
2020-07-29,11276.9,11341.4,11149.75,11202.85
2020-07-28,11154.1,11317.75,11151.4,11300.55
2020-07-27,11225.0,11225.0,11087.85,11131.8
2020-07-24,11149.95,11225.4,11090.3,11194.15
2020-07-23,11135.0,11239.8,11103.15,11215.45
2020-07-22,11231.2,11238.1,11056.55,11132.6
2020-07-21,11126.1,11179.55,11113.25,11162.25
2020-07-20,10999.45,11037.9,10953.0,11022.2
2020-07-17,10752.0,10933.45,10749.65,10901.7
2020-07-16,10706.2,10755.3,10595.2,10739.95
2020-07-15,10701.0,10827.45,10577.75,10618.2
2020-07-14,10750.85,10755.65,10562.9,10607.35
2020-07-13,10851.85,10894.05,10756.05,10802.7
2020-07-10,10764.1,10819.4,10713.0,10768.05
2020-07-09,10755.55,10836.85,10733.0,10813.45
2020-07-08,10818.65,10847.85,10676.55,10705.75
2020-07-07,10802.85,10813.8,10689.7,10799.65
2020-07-06,10723.85,10811.4,10695.1,10763.65
2020-07-03,10614.95,10631.3,10562.65,10607.35
2020-07-02,10493.05,10598.2,10485.55,10551.7
2020-07-01,10323.8,10447.05,10299.6,10430.05
2020-06-30,10382.6,10401.05,10267.35,10302.1
2020-06-29,10311.95,10337.95,10223.6,10312.4
2020-06-26,10378.9,10409.85,10311.25,10383.0
2020-06-25,10235.55,10361.8,10194.5,10288.9
2020-06-24,10529.25,10553.15,10281.95,10305.3
2020-06-23,10347.95,10484.7,10301.75,10471.0
2020-06-22,10318.75,10393.65,10277.6,10311.2
2020-06-19,10119.0,10272.4,10072.65,10244.4
2020-06-18,9863.25,10111.2,9845.05,10091.65
2020-06-17,9876.7,10003.6,9833.8,9881.15
2020-06-16,10014.8,10046.15,9728.5,9914.0
2020-06-15,9919.35,9943.35,9726.35,9813.7
2020-06-12,9544.95,9996.05,9544.35,9972.9
2020-06-11,10094.1,10112.05,9885.05,9902.0
2020-06-10,10072.6,10148.75,10036.85,10116.15
2020-06-09,10181.15,10291.15,10021.45,10046.65
2020-06-08,10326.75,10328.5,10120.25,10167.45
2020-06-05,10093.8,10177.8,10040.75,10142.15
2020-06-04,10054.25,10123.85,9944.25,10029.1
2020-06-03,10108.3,10176.2,10035.55,10061.55
2020-06-02,9880.85,9995.6,9824.05,9979.1
2020-06-01,9726.85,9931.6,9706.95,9826.15
2020-05-29,9422.2,9598.85,9376.9,9580.3
2020-05-28,9364.95,9511.25,9336.5,9490.1
2020-05-27,9082.2,9334.0,9004.25,9314.95
2020-05-26,9099.75,9161.65,8996.65,9029.05
2020-05-22,9067.9,9149.6,8968.55,9039.25
2020-05-21,9079.45,9178.55,9056.1,9106.25
2020-05-20,8889.15,9093.8,8875.35,9066.55
2020-05-19,8961.7,9030.35,8855.3,8879.1
2020-05-18,9158.3,9158.3,8806.75,8823.25
2020-05-15,9182.4,9182.4,9050.0,9136.85
2020-05-14,9213.95,9281.1,9119.75,9142.75
2020-05-13,9584.2,9584.5,9351.1,9383.55
2020-05-12,9168.85,9240.85,9043.95,9196.55
2020-05-11,9348.15,9439.9,9219.95,9239.2
2020-05-08,9376.95,9382.65,9238.2,9251.5
2020-05-07,9234.05,9277.85,9175.9,9199.05
2020-05-06,9226.8,9346.9,9116.5,9270.9
2020-05-05,9429.4,9450.9,9190.75,9205.6
2020-05-04,9533.5,9533.5,9266.95,9293.5
2020-04-30,9753.5,9889.05,9731.5,9859.9
2020-04-29,9408.6,9599.85,9392.35,9553.35
2020-04-28,9389.8,9404.4,9260.0,9380.9
2020-04-27,9259.7,9377.1,9250.35,9282.3
2020-04-24,9163.9,9296.9,9141.3,9154.4
2020-04-23,9232.35,9343.6,9170.15,9313.9
2020-04-22,9026.75,9209.75,8946.25,9187.3
2020-04-21,9016.95,9044.4,8909.4,8981.45
2020-04-20,9390.2,9390.85,9230.8,9261.85
2020-04-17,9323.45,9324.0,9091.35,9266.75
2020-04-16,8851.25,9053.75,8821.9,8992.8
2020-04-15,9196.4,9261.2,8874.1,8925.3
2020-04-13,9103.95,9112.05,8912.4,8993.85
2020-04-09,8973.05,9128.35,8904.55,9111.9
2020-04-08,8688.9,9131.7,8653.9,8748.75
2020-04-07,8446.3,8819.4,8360.95,8792.2
2020-04-03,8356.55,8356.55,8055.8,8083.8
2020-04-01,8584.1,8588.1,8198.35,8253.8
2020-03-31,8529.35,8678.3,8358.0,8597.75
2020-03-30,8385.95,8576.0,8244.0,8281.1
2020-03-27,8949.1,9038.9,8522.9,8660.25
2020-03-26,8451.0,8749.05,8304.9,8641.45
2020-03-25,7735.15,8376.75,7714.75,8317.85
2020-03-24,7848.3,8036.95,7511.1,7801.05
2020-03-23,7945.7,8159.25,7583.6,7610.25
2020-03-20,8284.45,8883.0,8178.2,8745.45
2020-03-19,8063.3,8575.45,7832.55,8263.45
2020-03-18,9088.45,9127.55,8407.05,8468.8
2020-03-17,9285.4,9403.8,8915.6,8967.05
2020-03-16,9587.8,9602.2,9165.1,9197.4
2020-03-13,9107.6,10159.4,8555.15,9955.2
2020-03-12,10039.95,10040.75,9508.0,9590.15
2020-03-11,10334.3,10545.1,10334.0,10458.4
2020-03-09,10742.05,10751.55,10294.45,10451.45
2020-03-06,10942.65,11035.1,10827.4,10989.45
2020-03-05,11306.05,11389.5,11244.6,11269.0
2020-03-04,11351.35,11356.6,11082.15,11251.0
2020-03-03,11217.55,11342.25,11152.55,11303.3
2020-03-02,11387.35,11433.0,11036.25,11132.75
2020-02-28,11382.0,11384.8,11175.05,11201.75
2020-02-27,11661.25,11663.85,11536.7,11633.3
2020-02-26,11738.55,11783.25,11639.6,11678.5
2020-02-25,11877.5,11883.05,11779.9,11797.9
2020-02-24,12012.55,12012.55,11813.4,11829.4
2020-02-20,12119.0,12152.0,12071.45,12080.85
2020-02-19,12090.6,12134.7,12042.1,12125.9
2020-02-18,12028.25,12030.75,11908.05,11992.5
2020-02-17,12131.8,12159.6,12037.0,12045.8
2020-02-14,12190.15,12246.7,12091.2,12113.45
2020-02-13,12219.55,12225.65,12139.8,12174.65
2020-02-12,12151.0,12231.75,12144.3,12201.2
2020-02-11,12108.4,12172.3,12099.0,12107.9
2020-02-10,12102.35,12103.55,11990.75,12031.5
2020-02-07,12151.15,12154.7,12073.95,12098.35
2020-02-06,12120.0,12160.6,12084.65,12137.95
2020-02-05,12005.85,12098.15,11953.35,12089.15
2020-02-04,11786.25,11986.15,11783.4,11979.65
2020-02-03,11627.45,11749.85,11614.5,11707.9
2020-02-01,11939.0,12017.35,11633.3,11661.85
2020-01-31,12100.4,12103.55,11945.85,11962.1
2020-01-30,12147.75,12150.3,12010.6,12035.8
2020-01-29,12114.9,12169.6,12103.8,12129.5
2020-01-28,12148.1,12163.55,12024.5,12055.8
2020-01-27,12197.1,12216.6,12107.0,12119.0
2020-01-24,12174.55,12272.15,12149.65,12248.25
2020-01-23,12123.75,12189.0,12094.1,12180.35
2020-01-22,12218.35,12225.05,12087.9,12106.9
