Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,SESAGOA,EQ,107.7,111.0,116.35,108.0,116.35,116.35,114.8,20371,233859660000.0,,,
2000-01-04,SESAGOA,EQ,116.35,113.75,116.0,108.0,116.0,114.7,113.34,22366,253499440000.0,,,
2000-01-05,SESAGOA,EQ,114.7,107.55,115.85,107.55,114.5,114.0,112.78,18305,206436075000.0,,,
2000-01-06,SESAGOA,EQ,114.0,112.0,123.1,112.0,118.8,119.3,119.89,25800,309313325000.0,,,
2000-01-07,SESAGOA,EQ,119.3,119.85,120.0,114.05,116.5,116.5,116.84,17361,202840260000.0,,,
2000-01-10,SESAGOA,EQ,116.5,120.5,120.85,116.0,119.0,119.0,118.69,20707,245767815000.0,,,
2000-01-11,SESAGOA,EQ,119.0,118.0,118.2,113.35,113.35,114.55,116.3,20648,240140035000.0,,,
2000-01-12,SESAGOA,EQ,114.55,115.5,117.4,114.65,115.65,115.45,115.73,4995,57804725000.0,,,
2000-01-13,SESAGOA,EQ,115.45,112.25,115.9,112.1,115.0,115.1,114.9,15911,182823965000.0,,,
2000-01-14,SESAGOA,EQ,115.1,113.55,114.0,111.35,114.0,113.9,112.94,3722,42034650000.0,,,
2000-01-17,SESAGOA,EQ,113.9,114.05,117.5,114.05,115.5,115.55,116.01,7855,91122155000.0,,,
2000-01-18,SESAGOA,EQ,115.55,111.55,115.25,111.55,114.75,114.05,114.16,12095,138074705000.0,,,
2000-01-19,SESAGOA,EQ,114.05,119.0,119.0,115.0,117.0,117.4,117.22,3875,45421865000.0,,,
2000-01-20,SESAGOA,EQ,117.4,114.0,117.0,114.0,115.8,116.4,116.21,5656,65726415000.0,,,
2000-01-21,SESAGOA,EQ,116.4,115.45,116.25,112.5,114.0,114.2,114.5,6295,72074800000.0,,,
2000-01-24,SESAGOA,EQ,114.2,110.1,114.95,110.1,112.0,112.0,112.53,4139,46575320000.0,,,
2000-01-25,SESAGOA,EQ,112.0,110.1,110.45,107.15,107.15,107.55,108.73,7899,85887885000.0,,,
2000-01-27,SESAGOA,EQ,107.55,100.0,111.0,100.0,108.05,108.2,108.26,3404,36850225000.0,,,
2000-01-28,SESAGOA,EQ,108.2,110.0,110.0,105.0,106.5,105.75,105.97,12442,131850614999.99998,,,
2000-01-31,SESAGOA,EQ,105.75,106.0,106.0,97.3,97.3,97.3,99.37,10492,104255250000.0,,,
2000-02-01,SESAGOA,EQ,97.3,91.0,99.25,91.0,98.0,97.85,95.55,9127,87208450000.0,,,
2000-02-02,SESAGOA,EQ,97.85,99.9,102.9,97.05,100.0,100.25,99.52,7271,72363235000.0,,,
2000-02-03,SESAGOA,EQ,100.25,104.9,105.0,100.0,100.5,100.95,101.7,5819,59181350000.0,,,
2000-02-04,SESAGOA,EQ,100.95,99.5,101.85,97.25,97.25,97.3,98.6,7791,76821230000.0,,,
2000-02-07,SESAGOA,EQ,97.3,95.05,96.65,94.15,95.0,95.0,95.16,7085,67421469999.99999,,,
2000-02-08,SESAGOA,EQ,95.0,94.5,95.0,91.1,92.0,92.5,93.14,10152,94553595000.0,,,
2000-02-09,SESAGOA,EQ,92.5,93.1,95.95,91.05,91.05,91.05,93.75,6094,57130450000.0,,,
2000-02-10,SESAGOA,EQ,91.05,89.1,91.0,88.25,89.8,89.8,89.63,8363,74961205000.0,,,
2000-02-11,SESAGOA,EQ,89.8,90.0,90.0,87.05,87.05,87.9,88.2,5047,44516470000.0,,,
2000-02-14,SESAGOA,EQ,87.9,89.0,89.0,82.75,84.0,83.8,83.67,6747,56449205000.00001,,,
2000-02-15,SESAGOA,EQ,83.8,82.3,86.0,81.35,84.95,84.15,83.73,9736,81520310000.0,,,
2000-02-16,SESAGOA,EQ,84.15,86.0,89.0,85.35,86.75,86.75,87.5,10700,93622600000.0,,,
2000-02-17,SESAGOA,EQ,86.75,88.0,88.0,82.0,84.75,84.0,84.39,10395,87724860000.0,,,
2000-02-18,SESAGOA,EQ,84.0,82.5,83.5,79.0,80.0,80.1,80.61,11263,90791485000.0,,,
2000-02-21,SESAGOA,EQ,80.1,80.0,81.0,77.15,78.0,78.15,78.91,7133,56286005000.00001,,,
2000-02-22,SESAGOA,EQ,78.15,77.0,78.8,72.25,72.25,73.2,74.96,17682,132540030000.0,,,
2000-02-23,SESAGOA,EQ,73.2,77.85,77.85,74.0,75.0,74.6,74.83,11174,83613900000.0,,,
2000-02-24,SESAGOA,EQ,74.6,72.1,77.95,72.1,74.0,74.55,75.69,6585,49840570000.0,,,
2000-02-25,SESAGOA,EQ,74.55,74.0,74.7,69.0,69.0,69.9,71.09,10720,76205690000.0,,,
2000-02-28,SESAGOA,EQ,69.9,67.25,73.0,67.05,73.0,72.45,71.74,4049,29048310000.0,,,
2000-02-29,SESAGOA,EQ,72.45,74.25,74.9,68.25,68.25,70.35,72.75,14175,103127270000.0,,,
2000-03-01,SESAGOA,EQ,70.35,72.8,73.7,72.0,72.0,73.1,72.92,7155,52173840000.0,,,
2000-03-02,SESAGOA,EQ,73.1,70.25,70.25,67.6,68.0,68.0,68.87,10520,72452890000.0,,,
2000-03-03,SESAGOA,EQ,68.0,66.1,67.9,64.15,66.75,64.6,65.96,10162,67027475000.0,,,
2000-03-06,SESAGOA,EQ,64.6,68.9,69.0,64.5,65.1,65.1,66.44,14201,94350930000.0,,,
2000-03-07,SESAGOA,EQ,65.1,66.0,66.0,60.05,61.0,61.7,62.97,10021,63106925000.0,,,
2000-03-08,SESAGOA,EQ,61.7,64.0,64.0,60.0,61.05,61.25,62.08,12010,74564035000.0,,,
2000-03-09,SESAGOA,EQ,61.25,63.5,63.5,60.0,62.0,62.3,61.42,6910,42439225000.0,,,
2000-03-10,SESAGOA,EQ,62.3,62.6,62.6,58.3,60.8,60.2,59.54,120745,718940350000.0,,,
2000-03-13,SESAGOA,EQ,60.2,57.0,60.1,57.0,59.0,58.4,59.15,8050,47619550000.0,,,
2000-03-14,SESAGOA,EQ,58.4,63.0,63.1,58.65,63.1,62.8,61.0,11995,73168255000.0,,,
